filename,source,year,text_type,variant,translation,word_count,y_count,y_freq_10k,i_count,i_freq_10k,ab_count,ab_freq_10k,amb_count,amb_freq_10k,lo_count,lo_freq_10k,los_count,los_freq_10k,el_count,el_freq_10k,els_count,els_freq_10k,a_acute_count,a_acute_freq_10k,a_grave_count,a_grave_freq_10k,cedilla_count,cedilla_freq_10k,ny_count,ny_freq_10k,ss_count,ss_freq_10k,qu_diaeresis_count,qu_diaeresis_freq_10k,plural_as_count,plural_as_freq_10k,plural_es_count,plural_es_freq_10k,h_count,h_freq_10k,final_ch_count,final_ch_freq_10k,final_c_count,final_c_freq_10k
003390_Lo_sant_evangeli_de_Jesu-Christ_segons_s.out.txt,CTILC,1832,LIT,central,sí,18802,864,459.5255823848527,1,0.5318583129454313,106,56.37698117221572,0,0.0,439,233.48579938304437,228,121.26369535155834,0,0.0,0,0.0,891,473.8857568343793,0,0.0,0,0.0,101,53.71768960748856,131,69.6734389958515,0,0.0,539,286.6716306775875,645,343.0486118498032,1241,660.0361663652802,157,83.50175513243272,0,0.0
003391_Los_fets_dels_apostols.out.txt,CTILC,1832,LIT,central,sí,23256,1528,657.0347437220503,1,0.4299965600275198,222,95.45923632610939,0,0.0,452,194.35844513243893,324,139.3188854489164,0,0.0,0,0.0,1218,523.735810113519,0,0.0,0,0.0,220,94.59924320605434,271,116.52906776745787,0,0.0,788,338.83728930168564,630,270.8978328173375,1197,514.7058823529411,110,47.29962160302717,4,1.7199862401100792
002013_Refleccions_sobre_lo_dret_que_te_a_la_su.out.txt,CTILC,1833,NLIT,central,sí,6763,306,452.46192518113264,3,4.435901227266006,53,78.3675883483661,0,0.0,218,322.3421558479964,61,90.19665828774212,4,5.914534969688008,0,0.0,354,523.4363448173887,0,0.0,0,0.0,122,180.39331657548425,101,149.34200798462223,0,0.0,257,380.00887180245456,145,214.40189265119028,202,298.68401596924446,20,29.572674848440045,3,4.435901227266006
002125_Obligacions_que_tenen_de_cumplir_los_ser.out.txt,CTILC,1833,NLIT,central,no,1918,61,318.0396246089677,0,0.0,5,26.068821689259643,0,0.0,41,213.7643378519291,23,119.91657977059437,0,0.0,0,0.0,110,573.5140771637122,0,0.0,0,0.0,17,88.63399374348279,33,172.05422314911365,0,0.0,98,510.94890510948903,37,192.9092805005214,78,406.67361835245043,14,72.99270072992701,0,0.0
002628_Documents_notarials_I_Barcelona.out.txt,CTILC,1833,NLIT,central,no,4180,216,516.7464114832536,0,0.0,35,83.73205741626795,0,0.0,148,354.066985645933,61,145.93301435406698,3,7.177033492822966,0,0.0,212,507.17703349282294,0,0.0,0,0.0,29,69.377990430622,4,9.569377990430622,0,0.0,246,588.5167464114833,66,157.89473684210526,117,279.9043062200957,23,55.02392344497608,1,2.3923444976076556
002629_Documents_notarials_I_Barcelona.out.txt,CTILC,1833,NLIT,central,no,5698,358,628.2906282906282,3,5.265005265005265,87,152.6851526851527,0,0.0,99,173.74517374517376,21,36.85503685503686,3,5.265005265005265,0,0.0,159,279.0452790452791,0,0.0,0,0.0,20,35.1000351000351,7,12.285012285012284,0,0.0,338,593.1905931905932,94,164.97016497016497,177,310.63531063531065,48,84.24008424008424,0,0.0
002777_Documents_notarials_I_Sabadell.out.txt,CTILC,1833,NLIT,central,no,16845,989,587.1178391214011,0,0.0,160,94.98367468091422,0,0.0,362,214.90056396556844,100,59.364796675571384,0,0.0,0,0.0,424,251.70673790442268,0,0.0,0,0.0,83,49.27278124072425,287,170.37696645888985,0,0.0,804,477.29296527159397,345,204.80854853072125,653,387.6521222914812,192,113.98040961709707,6,3.5618878005342833
003014_La_calumnia_descubierta_o_an_Batista_y_l.out.txt,CTILC,1833,LIT,central,no,3491,96,274.9928387281581,0,0.0,0,0.0,0,0.0,22,63.01919220853624,5,14.322543683758235,23,65.88370094528788,0,0.0,130,372.3861357777141,41,117.44485820681753,0,0.0,0,0.0,0,0.0,0,0.0,180,515.6115726152965,90,257.80578630764825,199,570.0372386135778,44,126.03838441707248,8,22.916069894013177
003015_El_espatriado_en_su_patria.out.txt,CTILC,1833,LIT,central,no,3449,91,263.8445926355465,0,0.0,1,2.8993911278631486,0,0.0,37,107.2774717309365,6,17.396346767178894,7,20.29573789504204,0,0.0,180,521.8904030153668,34,98.57929834734706,0,0.0,1,2.8993911278631486,2,5.798782255726297,0,0.0,119,345.02754421571467,89,258.04581037982024,194,562.4818788054508,43,124.6738184981154,0,0.0
003016_La_union_o_la_tia_Sacallona_en_las_fiest.out.txt,CTILC,1833,LIT,central,no,4051,100,246.85262898049862,0,0.0,1,2.4685262898049865,0,0.0,41,101.20957788200444,23,56.77610466551469,15,37.0278943470748,0,0.0,160,394.9642063687978,60,148.1115773882992,0,0.0,0,0.0,0,0.0,0,0.0,154,380.15304862996794,117,288.8175759071834,245,604.7889410022217,33,81.46136756356455,49,120.95778820044433
