source,documents,word_count,document_share,word_share
Ariel,17,144301,0.01720647773279352,0.011960225026386079
CTILC,965,11839698,0.9767206477732794,0.981319965381066
Ressorgiment,6,81075,0.006072874493927126,0.006719809592547878
