text_type,documents,word_count,document_share,word_share
LIT,347,6118925,0.35121457489878544,0.5071601715828681
MIXED,23,225376,0.02327935222672065,0.018680034618933958
NLIT,618,5720773,0.6255060728744939,0.474159793798198
