feature,period,documents,word_count,global_freq,mean_document_freq,median_document_freq,std_document_freq,q25,q75
y,1830,31,203135,449.454796071578,426.1861379433622,389.01601830663617,181.1058414218324,296.1507531135213,528.6434760118971
y,1835,37,197996,429.3521081233964,445.09826478455875,440.251572327044,185.57603477605753,289.179104477612,539.5005497094393
y,1840,41,108120,466.51868294487605,474.4688452946613,444.37340153452686,186.69012507265873,363.6363636363636,541.1334552102377
y,1845,26,161876,317.8358743729769,447.92892038574803,443.73161034143425,209.69842130458366,291.7318872987478,584.3665887032492
y,1850,16,113386,404.2827156791844,472.83367482693853,427.3120677498752,200.6759248582261,344.92743854933997,522.5095915757395
y,1855,26,225649,355.3749407265266,358.1586968281444,351.7512291331113,90.17910893523246,302.6299955205104,375.72455165294406
y,1860,15,85159,326.44817341678504,357.28610021350414,318.4973458554512,108.92036230070175,282.8182091733654,424.67389461691306
y,1865,41,402467,346.58742207435637,342.0478255463923,334.49263502454994,79.15299455141366,289.5792264292026,394.0084662976229
y,1870,31,584039,380.1629685688798,405.99771946613464,382.63614116140246,138.50895209056182,313.7893656029334,478.8798019028176
y,1875,47,710534,357.89983308328664,362.21354114918535,353.33596525858667,107.22634876944362,302.3729875374704,403.89036577678735
y,1880,55,724474,344.58103396395177,342.2845971455797,327.77115613825987,81.87382032962361,291.42927257284526,376.98885826282685
y,1885,51,936311,335.72178474887085,351.9906073872623,343.0079155672823,76.77724781007696,295.48398305508033,399.2177992282009
y,1890,50,745568,331.68000772565347,341.68105649666745,345.1206197328291,81.29713598155975,278.79320357486745,397.57367168166206
y,1895,57,547295,326.80729770964473,334.3084623594094,338.9830508474576,120.06319109784953,262.30135937200845,401.33779264214047
y,1900,69,1011863,288.15165689426334,296.3119719381672,340.3197925669836,174.304324251804,234.9869451697128,421.4223002633889
y,1905,71,1010812,277.1138451067063,296.75001959459513,337.83093120719616,158.06418727932547,283.85765963500387,396.6334939917251
y,1910,64,614682,206.8711951871049,214.82786552504587,279.17263395563737,187.63866910044558,1.0332119598344616,361.9896452777325
y,1915,91,1192611,54.52741925070286,50.95314921875436,0.0,132.21637448016654,0.0,2.017828510136037
y,1920,51,649192,8.210205917509766,8.327075268730267,0.0,53.18100619713891,0.0,0.0
y,1925,30,430150,15.831686620946181,35.79321364906028,0.0,109.14696231045221,0.0,0.18727994606337547
y,1930,37,710781,8.807213473629712,23.031300650797878,0.0,86.94322979657647,0.0,1.1037527593818983
y,1935,20,263986,1.856159038736903,5.878663295149011,0.0,22.533411461367255,0.0,0.0
y,1940,9,107172,10.450490799835778,8.780421561225092,3.558212354113293,11.4057815507951,0.0,14.20555437175936
y,1945,22,327816,1.037167191351246,1.6861531712564182,1.240000853987559,2.198937964871471,0.0,2.4289736230542216
i,1830,31,203135,0.6891968395402072,1.5676104110448064,0.0,6.1379887508904165,0.0,0.0
i,1835,37,197996,0.3030364249782824,0.5451754351194932,0.0,2.463189200617583,0.0,0.0
i,1840,41,108120,0.3699593044765076,0.6360638154116415,0.0,2.3641518886001514,0.0,0.0
i,1845,26,161876,65.66754799970347,16.197055364271048,0.0,80.68496047642844,0.0,0.0
i,1850,16,113386,3.968743936641208,4.468127184368272,0.0,14.724346325079727,0.0,1.901539398099509
i,1855,26,225649,1.861297856405302,1.9589132745268516,0.0,5.031099707780561,0.0,1.8096740562829123
i,1860,15,85159,3.6402494157986824,1.8308899208139104,0.0,3.8004567072737463,0.0,1.3795621428905802
i,1865,41,402467,1.689579518320757,2.1384539122348034,0.0,6.028151164851055,0.0,2.002803925495694
i,1870,31,584039,0.7704964908165379,0.4720691356001377,0.0,1.2077249011354132,0.0,0.31472311535805475
i,1875,47,710534,2.181457889418381,3.107484896813868,0.0927402900916274,8.231654346355887,0.0,2.6596739876315256
i,1880,55,724474,1.2836899598881395,1.3520635709323037,0.0,2.50033392142813,0.0,2.36377047069542
i,1885,51,936311,0.7582950536734056,1.1322710827087656,0.3401283417609578,1.9292262134768203,0.0,1.5613953828526852
i,1890,50,745568,2.722756341473883,4.16623075408677,0.8801409709002208,7.8412084248193485,0.0,4.826048983469017
i,1895,57,547295,14.197096629788323,22.60325173779059,0.0,85.59859972856121,0.0,3.022517757291824
i,1900,69,1011863,87.09677100556102,78.4785870689977,0.7461572899567229,153.5024246445946,0.0,7.708402158352604
i,1905,71,1010812,82.23091930052274,74.71341864666576,1.1330802787377483,161.03341366159748,0.0,8.017885045891536
i,1910,64,614682,163.66186092971648,128.66670298843314,8.407508802846207,174.7343479119056,0.24671864206059407,252.82359241715082
i,1915,91,1192611,287.58748661550163,293.96523046612697,313.6396790663749,134.25255345597785,251.59822219560598,375.7315950870787
i,1920,51,649192,333.9535915414854,337.91437083656865,336.5917565252444,105.28607368291186,268.6338667646105,393.6672923216324
i,1925,30,430150,337.8588864349646,305.92611662281814,320.7039774965856,154.12187478216327,255.4720827753873,357.70942119257643
i,1930,37,710781,350.8534977721689,321.8882808794076,325.75500508992195,100.69324693974772,284.90759753593426,371.3230444532384
i,1935,20,263986,357.6326017288796,325.3369414773607,306.43037827408443,102.72251187737045,230.46807017594227,402.0628916116011
i,1940,9,107172,354.9434553801366,362.82740132548076,348.70481070310274,56.038216761797166,331.5025500196155,368.135184067592
i,1945,22,327816,351.1421041071821,327.0577764229244,323.62072895705217,43.648281231271596,296.2120498685193,353.7815332874812
ab,1830,31,203135,77.9776995594063,74.00874631917421,78.3675883483661,45.406417991123995,50.37400963019738,96.68922648618812
ab,1835,37,197996,142.47762581062244,124.22637571519897,121.77853299348628,75.37143722672813,70.10028234835946,165.21340064249657
ab,1840,41,108120,96.65186829448761,89.36726176921879,89.48545861297539,44.95349341681307,52.08333333333333,111.61345012715456
ab,1845,26,161876,57.945587980923676,79.16080609333154,81.58540824775298,61.37523234775862,35.29676230480169,119.89216258154049
ab,1850,16,113386,97.71929515107686,102.10453802291218,101.05879759756374,73.63281149542706,64.92531419769277,121.42546837963002
ab,1855,26,225649,92.00129404517637,94.84373952610552,97.74365091748211,70.00121648552727,56.52958176731299,125.86814622925095
ab,1860,15,85159,74.21411712208926,78.89437651694759,96.33547412164717,45.192561605343094,59.57363789973513,109.20571299683448
ab,1865,41,402467,91.51060832316686,88.23573195239419,90.70918086860914,29.172744588929458,75.046904315197,100.24879262403044
ab,1870,31,584039,99.13721515172789,92.39630761401796,93.64923594560491,29.130650067126382,78.96789196358705,111.87220011705341
ab,1875,47,710534,90.41087407499148,87.13571555664775,90.13785790031814,34.6279953057217,70.88609220787977,104.03519209871044
ab,1880,55,724474,92.9916049437247,86.69687633840763,87.38394320043692,37.33597504983657,69.62772683812352,106.9410580271248
ab,1885,51,936311,98.49291528135417,93.87097953428365,93.91124871001033,34.38665813360076,75.66056183189497,113.42076621994119
ab,1890,50,745568,95.1355208378042,86.85310448686643,82.50307467335557,29.15376203990848,66.25694727392985,107.71281822035563
ab,1895,57,547295,83.35541161530801,67.0524509046826,72.54042617500377,43.9193222787589,44.37869822485207,95.46795387503352
ab,1900,69,1011863,62.01432407351588,58.27717590103064,69.89748369058714,43.55010312065146,0.2588192665061987,95.34961525593845
ab,1905,71,1010812,67.33200634737221,73.40088792107603,80.31395454960298,49.88635673401133,39.06642357048352,110.87145487315763
ab,1910,64,614682,43.20933425738837,47.05507804165737,43.68696082842371,47.96867778400295,0.0,82.83802127107151
ab,1915,91,1192611,14.50598728336398,11.728853378592094,0.0,31.736378197327916,0.0,0.0
ab,1920,51,649192,4.944608066642843,4.786546592630794,0.0,19.43444633849828,0.0,0.0
ab,1925,30,430150,6.4396140881088,11.92024870040921,0.0,31.07743375559285,0.0,0.0
ab,1930,37,710781,1.3084198930472257,3.5464059446291225,0.0,15.921633045190575,0.0,0.0
ab,1935,20,263986,14.697749123059557,3.3380685621802106,0.0,14.737078757074032,0.0,0.0
ab,1940,9,107172,0.4665397678498115,0.41343954047832754,0.0,0.6617327338755649,0.0,0.710277718587968
ab,1945,22,327816,0.0915147521780511,0.13084073821549505,0.0,0.5326346190098519,0.0,0.0
amb,1830,31,203135,0.0,0.0,0.0,0.0,0.0,0.0
amb,1835,37,197996,0.0,0.0,0.0,0.0,0.0,0.0
amb,1840,41,108120,0.0924898261191269,0.08627606615648753,0.0,0.5524363703169652,0.0,0.0
amb,1845,26,161876,4.942054412019076,1.9776147976236422,0.0,6.989051755628688,0.0,0.0
