opposition,period,left_freq_per_10k,right_freq_per_10k,difference
y_vs_i,1830,449.454796071578,0.6891968395402072,448.7655992320378
y_vs_i,1835,429.3521081233964,0.3030364249782824,429.0490716984181
y_vs_i,1840,466.51868294487605,0.3699593044765076,466.14872364039957
y_vs_i,1845,317.8358743729769,65.66754799970347,252.16832637327343
y_vs_i,1850,404.2827156791844,3.968743936641208,400.3139717425432
y_vs_i,1855,355.3749407265266,1.861297856405302,353.51364287012126
y_vs_i,1860,326.44817341678504,3.6402494157986824,322.80792400098636
y_vs_i,1865,346.58742207435637,1.689579518320757,344.8978425560356
y_vs_i,1870,380.1629685688798,0.7704964908165379,379.3924720780633
y_vs_i,1875,357.89983308328664,2.181457889418381,355.71837519386827
y_vs_i,1880,344.58103396395177,1.2836899598881395,343.29734400406363
y_vs_i,1885,335.72178474887085,0.7582950536734056,334.96348969519744
y_vs_i,1890,331.68000772565347,2.722756341473883,328.9572513841796
y_vs_i,1895,326.80729770964473,14.197096629788323,312.6102010798564
y_vs_i,1900,288.15165689426334,87.09677100556102,201.0548858887023
y_vs_i,1905,277.1138451067063,82.23091930052274,194.88292580618358
y_vs_i,1910,206.8711951871049,163.66186092971648,43.209334257388406
y_vs_i,1915,54.52741925070286,287.58748661550163,-233.06006736479878
y_vs_i,1920,8.210205917509766,333.9535915414854,-325.74338562397566
y_vs_i,1925,15.831686620946181,337.8588864349646,-322.0271998140184
y_vs_i,1930,8.807213473629712,350.8534977721689,-342.0462842985392
y_vs_i,1935,1.856159038736903,357.6326017288796,-355.7764426901427
y_vs_i,1940,10.450490799835778,354.9434553801366,-344.4929645803008
y_vs_i,1945,1.037167191351246,351.1421041071821,-350.1049369158308
ab_vs_amb,1830,77.9776995594063,0.0,77.9776995594063
ab_vs_amb,1835,142.47762581062244,0.0,142.47762581062244
ab_vs_amb,1840,96.65186829448761,0.0924898261191269,96.5593784683685
ab_vs_amb,1845,57.945587980923676,4.942054412019076,53.0035335689046
ab_vs_amb,1850,97.71929515107686,3.0868008396098285,94.63249431146704
ab_vs_amb,1855,92.00129404517637,0.04431661562869767,91.95697742954766
ab_vs_amb,1860,74.21411712208926,0.0,74.21411712208926
ab_vs_amb,1865,91.51060832316686,6.087455617479197,85.42315270568767
ab_vs_amb,1870,99.13721515172789,1.0958172313835206,98.04139792034437
ab_vs_amb,1875,90.41087407499148,0.028147843734430723,90.38272623125705
ab_vs_amb,1880,92.9916049437247,6.528874742226774,86.46273020149792
ab_vs_amb,1885,98.49291528135417,0.08544169618855274,98.40747358516562
ab_vs_amb,1890,95.1355208378042,4.332267479290956,90.80325335851323
ab_vs_amb,1895,83.35541161530801,4.001498277894006,79.35391333741401
ab_vs_amb,1900,62.01432407351588,14.992148146537625,47.02217592697826
ab_vs_amb,1905,67.33200634737221,16.87752025104569,50.45448609632652
ab_vs_amb,1910,43.20933425738837,35.725789920641894,7.483544336746476
ab_vs_amb,1915,14.50598728336398,79.2379074149073,-64.73192013154332
ab_vs_amb,1920,4.944608066642843,77.26527745258721,-72.32066938594437
ab_vs_amb,1925,6.4396140881088,87.43461583168661,-80.99500174357782
ab_vs_amb,1930,1.3084198930472257,92.20842988205932,-90.90000998901209
ab_vs_amb,1935,14.697749123059557,67.35205654845333,-52.654307425393775
ab_vs_amb,1940,0.4665397678498115,85.65670137722539,-85.19016160937558
ab_vs_amb,1945,0.0915147521780511,92.85696854332919,-92.76545379115113
lo_los_vs_el_els,1830,283.8998695448839,54.54500701503926,229.35486252984467
lo_los_vs_el_els,1835,297.1777207620356,43.788763409361806,253.3889573526738
lo_los_vs_el_els,1840,370.69922308546063,30.42915279319275,340.27007029226786
lo_los_vs_el_els,1845,237.03328473646496,89.38940917739504,147.64387555906993
lo_los_vs_el_els,1850,288.6599756583705,21.519411567565662,267.14056409080484
lo_los_vs_el_els,1855,317.12970143896047,73.38831548112334,243.7413859578371
lo_los_vs_el_els,1860,257.5182893176294,57.53942624972111,199.9788630679083
lo_los_vs_el_els,1865,244.06970012448227,18.411447398171777,225.65825272631048
lo_los_vs_el_els,1870,275.7692551353591,20.460962367239173,255.30829276811994
lo_los_vs_el_els,1875,258.65053607568393,20.92792181654924,237.7226142591347
lo_los_vs_el_els,1880,240.75398150934333,17.957856320585694,222.79612518875763
lo_los_vs_el_els,1885,252.67245605359756,11.961837466397382,240.71061858720017
lo_los_vs_el_els,1890,256.94504055968065,9.12056311429675,247.8244774453839
lo_los_vs_el_els,1895,175.9928375007994,67.56867868334263,108.42415881745677
lo_los_vs_el_els,1900,109.70852773547406,189.27463500493644,-79.56610726946238
lo_los_vs_el_els,1905,84.27877785384425,200.8781059188059,-116.59932806496164
lo_los_vs_el_els,1910,77.69871250500259,250.73127243029728,-173.0325599252947
lo_los_vs_el_els,1915,34.26934683647895,311.8787265923256,-277.60937975584665
lo_los_vs_el_els,1920,30.97696829289332,326.80624530185213,-295.8292770089588
lo_los_vs_el_els,1925,19.03986981285598,393.30466116471,-374.26479135185406
lo_los_vs_el_els,1930,17.290839231774626,364.5004579469625,-347.2096187151879
lo_los_vs_el_els,1935,69.20821558719022,323.57776548756374,-254.3695499003735
lo_los_vs_el_els,1940,15.862352106893592,362.6880155264435,-346.8256634195499
lo_los_vs_el_els,1945,12.629035800571051,338.5435732240037,-325.91453742343265
a_acute_vs_a_grave,1830,546.8776921751545,10.7810077042361,536.0966844709184
a_acute_vs_a_grave,1835,409.95777692478634,64.95080708701185,345.0069698377745
a_acute_vs_a_grave,1840,377.6359600443951,2.219755826859046,375.41620421753606
a_acute_vs_a_grave,1845,622.5753045541031,23.16588005633942,599.4094244977637
a_acute_vs_a_grave,1850,300.8307903974036,7.849293563579279,292.9814968338243
a_acute_vs_a_grave,1855,373.3674866717779,3.8112289440679996,369.5562577277099
a_acute_vs_a_grave,1860,370.4834486078982,15.148134665742905,355.33531394215527
a_acute_vs_a_grave,1865,372.45289675923743,0.6460156981814658,371.80688106105595
a_acute_vs_a_grave,1870,405.2640320252586,0.804740779297273,404.4592912459613
a_acute_vs_a_grave,1875,402.04972598074124,0.49258726535253766,401.5571387153887
a_acute_vs_a_grave,1880,383.9061167136433,15.832176171953721,368.0739405416896
a_acute_vs_a_grave,1885,373.1238872554098,2.563250885656582,370.5606363697532
a_acute_vs_a_grave,1890,415.17339799991413,3.0044207905918707,412.16897720932224
a_acute_vs_a_grave,1895,358.4538503001124,21.304780785499595,337.1490695146128
a_acute_vs_a_grave,1900,201.65773429802255,40.697209009520066,160.96052528850248
a_acute_vs_a_grave,1905,102.40282070256387,106.57768210112266,-4.1748613985587895
a_acute_vs_a_grave,1910,60.47029195584058,130.9132201691281,-70.44292821328752
a_acute_vs_a_grave,1915,11.655099609176839,165.33471517535892,-153.6796155661821
