feature,breakpoint,slope_before,slope_after,sse
y,1915,-2.124251889929794,-1.2140408142543722,21016.54050444308
i,1910,0.5607009214254917,4.126602828487668,24325.25124388382
ab,1910,-0.2796106398323521,-0.8283184408091773,5850.0300034702705
amb,1915,0.24546461464973204,0.2682676567950624,1207.0308967377384
lo,1900,-0.9481076263186545,-1.4111034004163723,8303.893587860784
los,1900,-0.44491393442552357,-0.35611540385755985,3531.2387612602997
el,1900,-0.4593856128236245,2.5557221265943006,11875.511063473572
els,1900,-0.014960174624674045,1.1590486448459054,2312.9612841560584
a_acute,1900,-1.5383197012768166,-3.3166956829360426,88179.34309101438
a_grave,1905,-0.09141569282493305,1.7641684336638659,7562.929055561658
cedilla,1900,0.27977499250997917,0.5636197007708851,757.8439693458515
ny,1855,-1.3465008983008848,0.16016390555885063,3619.8141285293705
ss,1870,0.08898254754784164,0.24276354477061357,2533.4843532130844
qu_diaeresis,1905,0.03456113189279286,0.0011417035626359038,24.56229392662301
plural_as,1905,-2.486832436559263,-0.1663572455575146,60885.06153750591
plural_es,1900,0.997729187780488,1.2451724128338126,63111.67608395441
h,1870,1.1629181106642539,-3.920875985087041,19736.308438649678
final_ch,1895,0.5613939952837332,-1.6270535159469675,4176.865030213672
final_c,1900,-0.44248533400982165,1.2633843564797564,2712.6390817707265
